REGIONC,DIVISION,METROMICRO,UATYP10,TYPEHUQ,CELLAR,BASEFIN,ATTIC,ATTICFIN,STORIES,PRKGPLC1,KOWNRENT,YEARMADERANGE,TOTROOMS,NCOMBATH,NHAFBATH,WALLTYPE,ROOFTYPE,DRAFTY,RECBATH,MONTUB,TVCOLOR,TVSIZE1,TVONWD1,TVONWE1,FUELHEAT,TEMPHOME,TEMPGONE,TEMPNITE,MOISTURE,USEMOISTURE,AIRCOND,COOLTYPE,AGECENAC,TEMPHOMEAC,TEMPGONEAC,TEMPNITEAC,BASECOOL,ATTCCOOL,GARGCOOL,NUMCFAN,NOTMOIST,HHSEX,HHAGE,EMPLOYHH,EDUCATION,NUMADULT,NUMCHILD,ATHOME,MONEYPY,ENERGYASST,CDD65,CLIMATE_REGION_PUB,HDD65,KWH,KWHTV1,KWHHTBPMP,KWHHTBHEAT,DOLLAREL,DOLELTV1,DOLELHTBPMP,DOLELHTBHEAT,CUFEETNG,DOLLARNG,GALLONLP,GALLONFO,TOTALDOL,WOODAMT
Midwest,West North Central,METRO,U,Single-family attached house,No,Not applicable,No,Not applicable,One story,Yes,Owned or being bought by someone in your household,2010 to 2015,4,2,0,Siding,Shingles (composition or asphalt),Never,No,NA,1,40 to 59 inches,4 to 6 hours,4 to 6 hours,Natural gas from underground pipes,77,75,75,No,NA,Yes,Central air conditioning system,2 to 4 years old,77,77,77,Not applicable,Not applicable,No,3,No,Female,79,Not employed/retired,High school diploma or GED,2,0,5,"$80,000 to $99,999",No,654,Cold/Very Cold,6422,4096.48,344.337,0,0,714.69,59.81,0,0,336.612,338.43,0,0,1053.12,NA
West,Pacific,METRO,U,Single-family detached house,No,Not applicable,Yes,No,One story,Yes,Owned or being bought by someone in your household,1970 to 1979,6,2,0,Stucco,Slate or synthetic shake,Never,No,NA,1,40 to 59 inches,1 to 3 hours,1 to 3 hours,Natural gas from underground pipes,70,55,70,Yes,3,Yes,Central air conditioning system,15 to 19 years old,80,85,70,Not applicable,No,No,3,No,Male,32,Employed full-time,"Master’s, Professional, or Doctorate degree (for example: MA, MS, MBA, MD, JD, PhD)",2,1,5,"$140,000 or more",No,776,Marine,1913,5102.182,83.981,0,0,1014.43,16.64,0,0,309.227,456.36,0,0,1470.79,NA
South,West South Atlantic,METRO,R,Single-family detached house,No,Not applicable,No,Not applicable,One story,No,Owned or being bought by someone in your household,1990 to 1999,11,2,1,Siding,Shingles (composition or asphalt),Some of the time,No,NA,5,60 inches or more,4 to 6 hours,4 to 6 hours,Electricity,74,74,74,No,NA,Yes,Central air conditioning system,20 years or older,70,70,70,Not applicable,Not applicable,Not applicable,6,No,Female,41,Employed full-time,High school diploma or GED,3,2,5,"$40,000 - $59,999",No,1238,Mixed-Humid,3960,29036.391,493.742,0,0,2648.45,45.01,0,0,0,0,0,0,2648.45,NA
Northeast,New England,MICRO,C,Apartment in a building with 2 to 4 units,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Rented,Before 1950,3,1,0,Siding,Shingles (composition or asphalt),Never,No,NA,1,27 inches or less,More than 10 hours,More than 10 hours,Natural gas from underground pipes,72,72,72,No,NA,No,Not applicable,Not applicable,NA,NA,NA,Not applicable,Not applicable,Not applicable,0,No,Female,59,Not employed/retired,Some college or Associate’s degree,1,0,5,"Less than $20,000",No,536,Cold/Very Cold,7181,1234.103,431.084,0,0,282.06,97.09,0,0,361.574,542.75,0,0,824.81,NA
Northeast,Middle Atlantic,METRO,U,Single-family detached house,Yes,Yes,Yes,No,Two stories,No,Owned or being bought by someone in your household,Before 1950,8,2,1,Brick,Shingles (composition or asphalt),Some of the time,No,NA,4,28 to 39 inches,4 to 6 hours,7 to 10 hours,Natural gas from underground pipes,66,66,55,Yes,7,Yes,Central air conditioning system,2 to 4 years old,74,74,80,Yes,No,Not applicable,3,Yes,Male,69,Employed part-time,"Bachelor’s degree (for example: BA, BS)",2,0,5,"$80,000 to $99,999",No,848,Cold/Very Cold,5315,10813.073,129.254,0,0,1615.34,19.31,0,0,840.809,1103.95,0,0,2719.3,NA
Midwest,West North Central,METRO,U,Single-family detached house,Yes,Yes,Yes,No,Split-level,Yes,Owned or being bought by someone in your household,1980 to 1989,10,2,1,Siding,Shingles (composition or asphalt),Never,Yes,12,4,28 to 39 inches,1 to 3 hours,4 to 6 hours,Natural gas from underground pipes,71,66,68,Yes,7,Yes,Central air conditioning system,2 to 4 years old,75,80,75,Yes,No,No,0,No,Male,60,Employed full-time,"Bachelor’s degree (for example: BA, BS)",2,0,2,"$140,000 or more",No,635,Cold/Very Cold,7623,19294.866,70.068,534.99,1931.419,1581.31,5.74,43.85,158.29,1112.57,715.21,0,0,2296.52,NA
Midwest,West North Central,METRO,U,Single-family detached house,No,Not applicable,Yes,No,One story,Yes,Owned or being bought by someone in your household,1950 to 1959,7,1,0,Siding,Shingles (composition or asphalt),Some of the time,No,NA,2,40 to 59 inches,4 to 6 hours,4 to 6 hours,Natural gas from underground pipes,68,64,64,No,NA,Yes,Central air conditioning system,5 to 9 years old,73,78,78,Not applicable,No,No,7,No,Female,60,Employed part-time,High school diploma or GED,2,0,4,"$40,000 - $59,999",No,1276,Mixed-Humid,4537,8158.959,198.964,0,0,1092.57,26.58,0,0,812.765,816.82,0,0,1909.39,0.5
Midwest,West North Central,METRO,U,Apartment in a building with 5 or more units,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Rented,2010 to 2015,4,2,0,Brick,Not applicable,Never,No,NA,1,40 to 59 inches,1 to 3 hours,1 to 3 hours,Electricity,72,72,72,No,NA,Yes,Central air conditioning system,5 to 9 years old,72,72,72,Not applicable,Not applicable,Not applicable,3,No,Male,20,Employed full-time,Some college or Associate’s degree,2,0,3,"Less than $20,000",No,1473,Mixed-Humid,4133,12499.799,84.863,0,0,1148.62,7.8,0,0,0,0,0,0,1148.62,NA
West,Pacific,METRO,U,Single-family detached house,No,Not applicable,Yes,No,Two stories,Yes,Owned or being bought by someone in your household,2000 to 2009,10,3,0,Stucco,Ceramic or clay tiles,Never,Yes,1,4,40 to 59 inches,4 to 6 hours,4 to 6 hours,Not applicable,NA,NA,NA,No,NA,Yes,Central air conditioning system,10 to 14 years old,76,80,70,Not applicable,No,No,3,No,Female,48,Employed full-time,"Bachelor’s degree (for example: BA, BS)",2,3,5,"$60,000 to $79,999",No,1663,Hot-Dry/Mixed-Dry,662,13433.387,199.338,37.61,0,3008.15,44.58,8.42,0,265.355,319.19,0,0,3327.34,NA
Midwest,West North Central,METRO,U,Single-family detached house,Yes,Yes,No,Not applicable,Two stories,No,Owned or being bought by someone in your household,Before 1950,6,1,1,Stucco,Shingles (composition or asphalt),Some of the time,No,NA,1,28 to 39 inches,1 to 3 hours,4 to 6 hours,Natural gas from underground pipes,63,60,62,No,NA,Yes,Central air conditioning system,20 years or older,70,72,70,No,Not applicable,Not applicable,3,No,Female,51,Employed full-time,"Master’s, Professional, or Doctorate degree (for example: MA, MS, MBA, MD, JD, PhD)",3,0,3,"$60,000 to $79,999",No,1625,Mixed-Humid,4051,5250.654,68.85,0,0,583.29,7.65,0,0,694.011,556.07,0,0,1139.36,1.1
West,Mountain South,METRO,U,Apartment in a building with 5 or more units,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Rented,1980 to 1989,2,1,0,Wood,Not applicable,Some of the time,No,NA,1,28 to 39 inches,1 to 3 hours,1 to 3 hours,Natural gas from underground pipes,75,70,73,No,NA,Yes,Central air conditioning system,10 to 14 years old,75,80,77,Not applicable,Not applicable,Not applicable,2,No,Male,55,Employed full-time,"Master’s, Professional, or Doctorate degree (for example: MA, MS, MBA, MD, JD, PhD)",1,0,5,"$120,000 to $139,999",No,5803,Hot-Dry/Mixed-Dry,601,7596.935,53.462,0,0,815.53,5.74,0,0,31.725,58,0,0,873.53,NA
West,Mountain North,METRO,U,Apartment in a building with 5 or more units,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Rented,1970 to 1979,4,1,0,Brick,Not applicable,Some of the time,No,NA,3,40 to 59 inches,7 to 10 hours,More than 10 hours,Electricity,65,60,65,No,NA,Yes,Individual window/wall or portable units,Not applicable,75,75,80,Not applicable,Not applicable,Not applicable,2,No,Female,66,Not employed/retired,High school diploma or GED,2,1,5,"Less than $20,000",No,953,Cold/Very Cold,5404,7442,473.277,0,0,922,58.63,0,0,197.852,134,0,0,1056,NA
South,South Atlantic,METRO,U,Single-family detached house,No,Not applicable,Yes,Yes,One story,Yes,Owned or being bought by someone in your household,1980 to 1989,5,2,0,Concrete or concrete block,Shingles (composition or asphalt),Some of the time,No,NA,3,40 to 59 inches,1 to 3 hours,4 to 6 hours,Electricity,70,70,70,No,NA,Yes,Central air conditioning system,10 to 14 years old,78,78,76,Not applicable,No,No,3,No,Female,58,Employed full-time,"Bachelor’s degree (for example: BA, BS)",2,0,1,"$20,000 - $39,999",No,3601,Hot-Humid,596,14793.088,115.507,0,0,1843.84,14.4,0,0,0,0,0,0,1843.84,NA
South,West South Atlantic,METRO,U,Single-family detached house,No,Not applicable,No,Not applicable,One story,No,Occupied without payment of rent,2000 to 2009,6,2,0,Wood,Wood shingles/shakes,Never,No,NA,4,27 inches or less,1 to 3 hours,1 to 3 hours,Electricity,80,80,73,No,NA,Yes,Individual window/wall or portable units,Not applicable,75,75,80,Not applicable,Not applicable,Not applicable,2,No,Female,77,Employed full-time,Less than high school diploma or GED,2,0,0,"Less than $20,000",No,3674,Hot-Humid,675,7609.563,36.274,0,0,794.12,3.78,0,0,0,0,0,0,794.12,NA
Midwest,West North Central,NONE,R,Apartment in a building with 5 or more units,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Rented,1990 to 1999,1,1,0,Stucco,Not applicable,Some of the time,No,NA,1,40 to 59 inches,4 to 6 hours,1 to 3 hours,Natural gas from underground pipes,70,65,65,No,NA,Yes,Individual window/wall or portable units,Not applicable,72,74,71,Not applicable,Not applicable,Not applicable,0,No,Female,85,Not employed/retired,Less than high school diploma or GED,1,0,5,"Less than $20,000",No,695,Cold/Very Cold,7167,2572,173.428,0,0,307,20.7,0,0,210.295,187,0,0,494,NA
Northeast,Middle Atlantic,METRO,U,Single-family detached house,Yes,Yes,Yes,No,One story,Yes,Owned or being bought by someone in your household,1950 to 1959,6,2,0,Brick,Shingles (composition or asphalt),Never,No,NA,1,28 to 39 inches,1 to 3 hours,1 to 3 hours,Natural gas from underground pipes,72,65,68,No,NA,Yes,Central air conditioning system,Less than 2 years old,72,68,68,Yes,No,No,2,No,Male,58,Employed full-time,"Bachelor’s degree (for example: BA, BS)",2,0,2,"$120,000 to $139,999",No,1099,Cold/Very Cold,5021,9244.033,52.6,0,0,1412.43,8.02,0,0,651.007,703.33,0,0,2115.75,NA
South,South Atlantic,METRO,U,Single-family detached house,No,Not applicable,Yes,No,One story,Yes,Owned or being bought by someone in your household,2000 to 2009,7,2,0,Brick,Wood shingles/shakes,Never,No,NA,3,60 inches or more,7 to 10 hours,7 to 10 hours,Electricity,69,66,69,Yes,1,Yes,Central air conditioning system,5 to 9 years old,74,79,74,Not applicable,No,No,4,No,Female,35,Employed full-time,Some college or Associate’s degree,2,2,5,"$100,000 to $119,999",No,3834,Hot-Humid,501,11732.9,301.665,0,0,1493.53,38.4,0,0,0,0,0,0,1493.53,NA
Northeast,Middle Atlantic,METRO,U,Single-family detached house,Yes,No,No,Not applicable,One story,Yes,Owned or being bought by someone in your household,2000 to 2009,6,2,1,Siding,Shingles (composition or asphalt),Some of the time,No,NA,2,27 inches or less,1 to 3 hours,1 to 3 hours,Electricity,68,68,67,No,NA,Yes,Central air conditioning system,5 to 9 years old,76,76,76,No,Not applicable,No,1,Yes,Male,68,Not employed/retired,High school diploma or GED,2,0,5,"$40,000 - $59,999",No,1114,Cold/Very Cold,5288,13145,76.697,0,0,1874.98,10.94,0,0,0,0,0,0,1874.98,NA
West,Pacific,METRO,U,Apartment in a building with 5 or more units,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Rented,1990 to 1999,4,1,0,Wood,Not applicable,Most of the time,No,NA,1,28 to 39 inches,4 to 6 hours,7 to 10 hours,Not applicable,NA,NA,NA,No,NA,Yes,Central air conditioning system,10 to 14 years old,72,80,75,Not applicable,Not applicable,Not applicable,1,No,Female,29,Employed part-time,Some college or Associate’s degree,2,0,2,"$20,000 - $39,999",No,1568,Hot-Dry/Mixed-Dry,2012,5930.353,133.317,0,0,860.06,19.33,0,0,82.158,117,0,0,977.06,NA
Northeast,New England,METRO,U,Single-family detached house,Yes,No,No,Not applicable,One story,No,Owned or being bought by someone in your household,1960 to 1969,2,1,0,Siding,Other,Some of the time,No,NA,0,Not applicable,Not applicable,Not applicable,Fuel oil/kerosene,72,72,72,No,NA,Yes,Central air conditioning system,5 to 9 years old,70,70,70,No,Not applicable,Not applicable,0,Yes,Male,48,Employed full-time,Some college or Associate’s degree,2,0,5,"$60,000 to $79,999",No,766,Cold/Very Cold,6408,9894,0,0,0,1916,0,0,0,0,0,0,498.376,2870.18,NA
Northeast,New England,NONE,C,Apartment in a building with 5 or more units,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Rented,Before 1950,3,1,0,Wood,Not applicable,Some of the time,No,NA,1,28 to 39 inches,1 to 3 hours,1 to 3 hours,Wood (cordwood or pellets),80,70,80,No,NA,No,Not applicable,Not applicable,NA,NA,NA,Not applicable,Not applicable,Not applicable,0,No,Male,24,Not employed/retired,High school diploma or GED,1,0,5,"Less than $20,000",No,425,Cold/Very Cold,7544,2047.114,101.226,0,0,475.71,23.52,0,0,0,0,0,166.06,901.58,0
South,East South Atlantic,METRO,U,Single-family detached house,No,Not applicable,Yes,No,Two stories,Yes,Owned or being bought by someone in your household,1990 to 1999,7,3,0,Siding,Shingles (composition or asphalt),Never,No,NA,3,40 to 59 inches,Less than 1 hour,4 to 6 hours,Electricity,73,73,73,No,NA,Yes,Central air conditioning system,5 to 9 years old,73,73,73,Not applicable,No,No,5,No,Male,63,Not employed/retired,Some college or Associate’s degree,2,0,5,"$40,000 - $59,999",No,2164,Mixed-Humid,2287,13740.333,65.599,0,0,1779.49,8.5,0,0,0,0,0,0,1779.49,NA
South,East South Atlantic,METRO,U,Single-family attached house,No,Not applicable,Yes,No,One story,No,Rented,1980 to 1989,4,1,0,Brick,Shingles (composition or asphalt),Some of the time,No,NA,1,28 to 39 inches,1 to 3 hours,1 to 3 hours,Electricity,70,70,70,No,NA,Yes,Central air conditioning system,5 to 9 years old,65,65,65,Not applicable,No,Not applicable,0,No,Female,26,Employed full-time,Some college or Associate’s degree,2,0,5,"$40,000 - $59,999",No,1738,Mixed-Humid,3220,10218.294,52.547,0,0,1174,6.04,0,0,0,0,0,0,1174,NA
West,Mountain South,METRO,U,Single-family detached house,No,Not applicable,No,Not applicable,One story,Yes,Rented,1980 to 1989,9,2,0,Stucco,Ceramic or clay tiles,Some of the time,No,NA,4,27 inches or less,4 to 6 hours,4 to 6 hours,Electricity,60,60,60,No,NA,No,Not applicable,Not applicable,NA,NA,NA,Not applicable,Not applicable,Not applicable,0,No,Female,66,Employed part-time,"Master’s, Professional, or Doctorate degree (for example: MA, MS, MBA, MD, JD, PhD)",2,0,5,"$20,000 - $39,999",No,1725,Hot-Dry/Mixed-Dry,3703,8307.344,69.542,0,0,1131.82,9.47,0,0,604.107,458.89,0,0,1590.71,NA
Midwest,West North Central,METRO,U,Single-family detached house,Yes,Yes,Yes,No,Two stories,Yes,Owned or being bought by someone in your household,1980 to 1989,9,2,1,Wood,Shingles (composition or asphalt),Some of the time,Yes,6,4,60 inches or more,4 to 6 hours,4 to 6 hours,Natural gas from underground pipes,67,67,67,Yes,4,Yes,Both a central system and individual units,5 to 9 years old,68,69,68,No,No,No,6,No,Male,53,Employed full-time,"Bachelor’s degree (for example: BA, BS)",2,0,5,"$120,000 to $139,999",No,1404,Mixed-Humid,4490,17755,298.966,223.947,0,2134,35.93,26.92,0,766.719,886.75,0,0,3020.75,NA
South,South Atlantic,METRO,U,Single-family detached house,No,Not applicable,Yes,No,Two stories,Yes,Owned or being bought by someone in your household,1980 to 1989,8,3,0,Stucco,Ceramic or clay tiles,Never,Yes,12,4,40 to 59 inches,7 to 10 hours,7 to 10 hours,Electricity,65,65,65,No,NA,Yes,Central air conditioning system,5 to 9 years old,75,80,75,Not applicable,No,No,8,No,Female,50,Employed full-time,"Bachelor’s degree (for example: BA, BS)",2,1,5,"$140,000 or more",No,4396,Hot-Humid,358,26543.872,314.829,470.161,0,2954.32,35.04,52.33,0,0,0,99.879,0,3156.71,0.5
West,Pacific,METRO,U,Apartment in a building with 2 to 4 units,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Rented,1980 to 1989,3,1,0,Wood,Shingles (composition or asphalt),Never,No,NA,2,28 to 39 inches,1 to 3 hours,4 to 6 hours,Electricity,68,65,68,No,NA,Yes,Central air conditioning system,2 to 4 years old,77,78,76,Not applicable,Not applicable,Not applicable,0,No,Female,59,Employed full-time,Some college or Associate’s degree,1,0,0,"$40,000 - $59,999",No,1310,Hot-Dry/Mixed-Dry,2147,3233.242,68.872,0,0,571.92,12.12,0,0,54.315,75,0,0,646.92,NA
Midwest,West North Central,METRO,U,Single-family detached house,Yes,Yes,Yes,No,One story,Yes,Owned or being bought by someone in your household,2010 to 2015,9,2,0,Siding,Shingles (composition or asphalt),Never,No,NA,3,28 to 39 inches,1 to 3 hours,4 to 6 hours,Natural gas from underground pipes,68,68,68,No,NA,Yes,Central air conditioning system,5 to 9 years old,70,70,70,Yes,No,No,1,No,Male,37,Employed full-time,Some college or Associate’s degree,2,3,5,"$60,000 to $79,999",No,612,Cold/Very Cold,7682,9243.962,105.988,0,0,1273.34,14.57,0,0,596.14,484.17,0,0,1757.51,NA
South,West South Atlantic,METRO,U,Single-family detached house,No,Not applicable,Yes,Yes,One story,Yes,Owned or being bought by someone in your household,2010 to 2015,9,4,0,Brick,Shingles (composition or asphalt),Never,No,NA,4,40 to 59 inches,4 to 6 hours,1 to 3 hours,Natural gas from underground pipes,70,66,68,No,NA,Yes,Central air conditioning system,Less than 2 years old,69,71,68,Not applicable,Yes,No,7,No,Female,47,Employed full-time,"Bachelor’s degree (for example: BA, BS)",2,2,2,"$60,000 to $79,999",No,1068,Mixed-Humid,4064,19448.023,164.553,0,0,1965.74,16.62,0,0,564.35,658.04,0,0,2623.78,NA
Northeast,Middle Atlantic,METRO,U,Single-family detached house,Yes,Yes,Yes,No,Two stories,Yes,Owned or being bought by someone in your household,1970 to 1979,8,2,1,Siding,Shingles (composition or asphalt),Some of the time,No,NA,3,40 to 59 inches,4 to 6 hours,4 to 6 hours,Fuel oil/kerosene,68,68,65,No,NA,Yes,Central air conditioning system,20 years or older,73,73,73,No,No,No,3,No,Male,75,Not employed/retired,"Master’s, Professional, or Doctorate degree (for example: MA, MS, MBA, MD, JD, PhD)",2,0,5,"$80,000 to $99,999",No,970,Mixed-Humid,5373,8169.707,233.55,0,0,1237.37,35.37,0,0,0,0,70.41,676.509,3487.21,NA
West,Mountain South,METRO,R,Single-family detached house,No,Not applicable,No,Not applicable,One story,No,Owned or being bought by someone in your household,Before 1950,4,1,0,Stucco,Shingles (composition or asphalt),All the time,No,NA,1,27 inches or less,1 to 3 hours,1 to 3 hours,Natural gas from underground pipes,75,60,75,No,NA,Yes,Individual window/wall or portable units,Not applicable,60,75,75,Not applicable,Not applicable,Not applicable,0,No,Female,59,Employed full-time,High school diploma or GED,3,2,0,"$60,000 to $79,999",No,555,Cold/Very Cold,5349,2838,37.181,0,0,394,5.16,0,0,1108.218,777,0,0,1171,NA
South,West South Atlantic,METRO,U,Single-family detached house,No,Not applicable,Yes,No,Two stories,No,Owned or being bought by someone in your household,1990 to 1999,8,3,0,Brick,Shingles (composition or asphalt),Some of the time,No,NA,1,40 to 59 inches,1 to 3 hours,1 to 3 hours,Natural gas from underground pipes,75,76,75,No,NA,Yes,Central air conditioning system,Less than 2 years old,75,75,75,Not applicable,No,Not applicable,5,No,Female,85,Not employed/retired,Some college or Associate’s degree,2,0,5,"$20,000 - $39,999",No,3346,Hot-Humid,1364,26484.169,85.259,0,0,2347.43,7.56,0,0,515.07,486.47,0,0,2833.89,NA
South,West South Atlantic,NONE,C,Apartment in a building with 2 to 4 units,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Rented,1970 to 1979,2,1,0,Wood,Shingles (composition or asphalt),Never,No,NA,2,60 inches or more,1 to 3 hours,4 to 6 hours,Not applicable,NA,NA,NA,No,NA,Yes,Central air conditioning system,Less than 2 years old,68,70,65,Not applicable,Not applicable,Not applicable,0,No,Female,48,Employed full-time,Less than high school diploma or GED,1,0,0,"Less than $20,000",No,2811,Hot-Humid,2137,7963.966,175.863,0,0,821.98,18.11,0,0,0,0,0,0,821.98,NA
Northeast,Middle Atlantic,MICRO,C,Single-family detached house,Yes,No,Yes,No,Two stories,No,Owned or being bought by someone in your household,1990 to 1999,4,1,0,Siding,Shingles (composition or asphalt),Never,No,NA,2,60 inches or more,4 to 6 hours,4 to 6 hours,Wood (cordwood or pellets),66,66,70,No,NA,Yes,Individual window/wall or portable units,Not applicable,80,85,75,No,No,Not applicable,1,No,Male,55,Employed full-time,Less than high school diploma or GED,2,0,3,"$40,000 - $59,999",No,344,Cold/Very Cold,7294,10674.193,301.609,0,0,1492.96,42.11,0,0,0,0,8.712,28.494,1582.63,11
West,Mountain South,METRO,U,Single-family detached house,No,Not applicable,Yes,No,One story,Yes,Rented,1970 to 1979,9,2,0,Stucco,Shingles (composition or asphalt),Never,No,NA,1,40 to 59 inches,4 to 6 hours,4 to 6 hours,Natural gas from underground pipes,68,62,62,Yes,5,No,Not applicable,Not applicable,NA,NA,NA,Not applicable,Not applicable,Not applicable,4,No,Male,28,Employed full-time,Some college or Associate’s degree,2,1,4,"$20,000 - $39,999",No,1430,Hot-Dry/Mixed-Dry,3854,8479.116,194.606,0,0,1180.08,27.03,0,0,540.803,434.28,0,0,1614.36,NA
South,South Atlantic,METRO,U,Single-family detached house,No,Not applicable,Yes,Yes,One story,No,Owned or being bought by someone in your household,1950 to 1959,6,1,1,Concrete or concrete block,Shingles (composition or asphalt),Never,No,NA,4,28 to 39 inches,4 to 6 hours,More than 10 hours,Electricity,76,70,64,Yes,0,Yes,Individual window/wall or portable units,Not applicable,73,76,64,Not applicable,No,Not applicable,4,No,Female,48,Employed part-time,"Bachelor’s degree (for example: BA, BS)",1,0,4,"$20,000 - $39,999",No,3737,Hot-Humid,540,17821.444,169.591,0,0,2262,21.53,0,0,0,0,0,0,2262,NA
South,South Atlantic,METRO,U,Mobile home,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Rented,2010 to 2015,6,2,0,Siding,Metal,Never,No,NA,4,28 to 39 inches,7 to 10 hours,7 to 10 hours,Electricity,68,68,68,No,NA,Yes,Central air conditioning system,10 to 14 years old,75,75,75,Not applicable,Not applicable,Not applicable,3,No,Female,70,Not employed/retired,Some college or Associate’s degree,3,0,5,"$20,000 - $39,999",No,2537,Mixed-Humid,2036,16656.521,178.235,0,0,2270.89,24.27,0,0,0,0,0,0,2270.89,0.5
Northeast,Middle Atlantic,METRO,U,Apartment in a building with 5 or more units,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Rented,1980 to 1989,4,1,0,Concrete or concrete block,Not applicable,Never,No,NA,1,40 to 59 inches,4 to 6 hours,4 to 6 hours,Electricity,73,70,73,No,NA,Yes,Individual window/wall or portable units,Not applicable,70,70,68,Not applicable,Not applicable,Not applicable,0,No,Female,60,Not employed/retired,Less than high school diploma or GED,2,0,3,"Less than $20,000",No,1036,Cold/Very Cold,5353,4888,232.859,0,0,604,28.77,0,0,0,0,0,0,604,NA
Northeast,New England,METRO,U,Single-family detached house,No,Not applicable,No,Not applicable,Two stories,No,Owned or being bought by someone in your household,1950 to 1959,5,2,0,Shingle (composition),Concrete tiles,Never,No,NA,1,28 to 39 inches,4 to 6 hours,7 to 10 hours,Electricity,68,68,70,No,NA,Yes,Individual window/wall or portable units,Not applicable,60,50,50,Not applicable,Not applicable,Not applicable,2,No,Female,84,Not employed/retired,High school diploma or GED,1,0,5,"$20,000 - $39,999",No,604,Cold/Very Cold,7058,6837.633,267.173,0,0,1270.77,49.65,0,0,72.347,84,0,0,1354.77,NA
Midwest,West North Central,METRO,U,Single-family detached house,Yes,No,Yes,Yes,Two stories,No,Owned or being bought by someone in your household,Before 1950,7,1,1,Siding,Shingles (composition or asphalt),Some of the time,No,NA,1,40 to 59 inches,4 to 6 hours,7 to 10 hours,Natural gas from underground pipes,72,72,72,No,NA,Yes,Central air conditioning system,5 to 9 years old,78,78,78,No,No,Not applicable,5,No,Female,80,Not employed/retired,High school diploma or GED,1,0,5,"$40,000 - $59,999",No,643,Cold/Very Cold,6441,3877.538,222.427,0,0,668.66,38.36,0,0,1130.14,814.68,0,0,1483.34,NA
Midwest,West North Central,METRO,U,Single-family detached house,Yes,No,No,Not applicable,One story,Yes,Owned or being bought by someone in your household,1980 to 1989,7,3,0,Siding,Wood shingles/shakes,Never,No,NA,2,40 to 59 inches,4 to 6 hours,4 to 6 hours,Propane (bottled gas),72,70,64,Yes,7,Yes,Central air conditioning system,15 to 19 years old,78,80,78,No,Not applicable,No,6,No,Female,60,Not employed/retired,Some college or Associate’s degree,2,0,5,"$40,000 - $59,999",No,1399,Mixed-Humid,4497,11654.455,188.912,0,0,1400.79,22.67,0,0,0,0,499.718,0,2146.93,NA
Midwest,East North Central,METRO,U,Apartment in a building with 5 or more units,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Rented,1980 to 1989,4,1,0,Wood,Not applicable,Some of the time,No,NA,2,40 to 59 inches,4 to 6 hours,7 to 10 hours,Electricity,72,70,72,No,NA,Yes,Central air conditioning system,20 years or older,68,71,68,Not applicable,Not applicable,Not applicable,0,No,Male,27,Employed full-time,"Bachelor’s degree (for example: BA, BS)",1,0,1,"$80,000 to $99,999",No,642,Cold/Very Cold,6558,11138.815,227.182,0,0,1255.21,25.56,0,0,0,0,0,0,1255.21,NA
South,South Atlantic,METRO,U,Apartment in a building with 5 or more units,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Rented,1980 to 1989,1,1,0,Wood,Not applicable,Never,No,NA,1,28 to 39 inches,Less than 1 hour,Less than 1 hour,Electricity,78,65,78,No,NA,Yes,Central air conditioning system,2 to 4 years old,76,77,78,Not applicable,Not applicable,Not applicable,1,No,Male,71,Employed full-time,"Bachelor’s degree (for example: BA, BS)",1,0,0,"$60,000 to $79,999",No,4463,Hot-Humid,302,3285.652,14.909,0,0,491.12,2.22,0,0,0,0,0,0,491.12,NA
South,West South Atlantic,METRO,C,Single-family detached house,No,Not applicable,Yes,No,One story,Yes,Owned or being bought by someone in your household,2000 to 2009,6,2,0,Brick,Shingles (composition or asphalt),Never,No,NA,4,27 inches or less,7 to 10 hours,7 to 10 hours,Electricity,72,70,70,No,NA,Yes,Central air conditioning system,5 to 9 years old,75,78,72,Not applicable,No,No,4,No,Female,68,Not employed/retired,"Bachelor’s degree (for example: BA, BS)",1,0,3,"$40,000 - $59,999",No,3462,Hot-Humid,1439,20850.985,109.679,0,0,2494.44,13.11,0,0,0,0,0,0,2494.44,NA
